DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;PREÇO MÉDIO REVENDA
22/10/2017;28/10/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,725
29/10/2017;04/11/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,922
05/11/2017;11/11/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,901
12/11/2017;18/11/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,919
19/11/2017;25/11/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,966
26/11/2017;02/12/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,987
03/12/2017;09/12/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,949
10/12/2017;16/12/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,987
17/12/2017;23/12/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,951
24/12/2017;30/12/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,966
31/12/2017;06/01/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,007
07/01/2018;13/01/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,022
14/01/2018;20/01/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,013
21/01/2018;27/01/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,993
28/01/2018;03/02/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,219
04/02/2018;10/02/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,186
11/02/2018;17/02/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,138
18/02/2018;24/02/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,117
25/02/2018;03/03/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,073
04/03/2018;10/03/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,053
11/03/2018;17/03/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,021
18/03/2018;24/03/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,979
25/03/2018;31/03/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,946
01/04/2018;07/04/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,935
08/04/2018;14/04/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,952
15/04/2018;21/04/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,123
22/04/2018;28/04/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,222
29/04/2018;05/05/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,234
06/05/2018;12/05/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,255
13/05/2018;19/05/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,259
20/05/2018;26/05/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,422
